Turn,P,N,B,R,Q,p,n,b,r,q
224,86,18,29,44,10,61,21,29,39,10
225,86,18,29,42,10,56,20,28,36,9
226,79,16,28,42,9,53,19,27,36,8
227,77,16,28,40,9,48,19,27,34,8
228,71,12,26,39,9,46,19,23,33,8
229,71,12,26,39,9,43,18,21,32,8
230,69,12,26,38,8,43,17,21,31,8
231,63,11,24,36,8,39,17,19,28,7
232,61,11,23,35,8,39,17,19,27,7
233,61,11,23,35,8,38,17,17,27,7
234,57,11,23,31,7,36,15,17,27,6
235,57,11,23,31,7,36,14,16,27,6
236,56,11,23,31,6,34,14,15,27,6
237,55,11,23,30,6,33,14,14,27,6
238,54,11,22,30,6,33,14,14,26,6
239,54,11,22,30,6,32,14,14,26,6
240,52,10,22,30,5,30,14,14,26,5
241,52,10,22,30,5,30,14,14,26,5
242,45,8,20,27,4,27,14,12,24,5
243,34,7,19,25,4,17,10,11,20,5
244,30,5,16,23,4,16,8,11,17,5
245,30,5,16,23,4,16,8,11,17,5
246,25,3,12,22,4,16,6,9,16,5
247,25,3,12,22,4,15,6,9,16,5
248,23,3,11,21,4,15,6,9,15,5
249,23,3,11,21,4,14,6,9,15,5
250,22,2,11,20,4,13,6,9,14,5
251,22,2,11,20,4,12,6,9,14,5
252,19,2,10,19,3,12,6,9,14,4
253,17,2,10,19,2,10,6,9,10,3
254,15,2,7,18,2,9,5,8,10,3
255,15,2,7,18,2,9,5,8,10,3
256,14,2,7,17,2,9,5,8,10,2
257,14,2,7,17,2,9,5,8,10,2
258,14,2,6,16,2,9,5,8,9,2
259,14,2,6,16,2,9,5,8,9,2
260,14,2,6,16,2,9,5,8,9,2
261,14,2,6,16,2,9,4,8,9,2
262,14,2,6,15,2,9,4,8,9,2
263,14,2,6,15,2,8,4,8,9,2
264,14,2,6,15,2,8,4,8,9,2
265,14,2,5,13,2,8,3,8,7,2
266,14,2,5,13,2,8,3,8,7,2
267,11,2,4,13,2,6,3,7,7,2
268,11,1,4,13,2,6,3,7,7,2
269,11,1,4,13,2,6,3,7,7,2
270,7,1,4,10,2,6,3,7,6,1
271,7,1,4,10,2,6,3,6,6,1
272,7,1,4,9,2,6,3,6,6,1
273,7,1,4,9,2,6,3,6,5,1
274,7,1,4,9,2,6,3,6,5,1
275,7,1,4,9,2,6,3,6,5,1
276,7,0,3,7,2,6,3,6,3,1
277,7,0,3,7,2,6,3,6,3,1
278,7,0,3,5,2,6,3,4,3,1
279,7,0,3,5,2,6,3,4,3,1
280,7,0,3,5,2,6,3,4,3,1
281,7,0,3,5,2,6,3,4,3,1
282,7,0,3,5,2,6,3,4,3,1
283,7,0,3,5,2,6,3,4,3,1
284,7,0,3,5,2,6,3,4,3,1
285,7,0,3,5,2,6,3,4,3,1
286,7,0,3,5,2,6,3,4,3,1
287,7,0,3,5,2,6,3,4,3,1
288,7,0,3,5,2,6,3,4,3,1
289,7,0,3,5,2,6,3,4,3,1
290,7,0,3,5,2,6,3,4,3,1
291,7,0,3,5,2,6,3,4,3,1
292,7,0,2,4,2,6,3,4,2,1
293,6,0,2,4,1,5,3,4,2,0
294,5,0,2,4,1,5,3,4,2,0
295,5,0,2,4,1,5,2,4,2,0
296,4,0,2,4,1,5,2,4,2,0
297,4,0,2,4,1,4,2,4,2,0
298,3,0,2,4,1,4,2,4,2,0
299,3,0,2,4,1,3,2,4,2,0
300,1,0,1,3,1,1,2,4,1,0
301,1,0,0,3,1,1,2,4,0,0
302,1,0,0,3,1,1,2,4,0,0
303,1,0,0,3,1,1,2,4,0,0
304,1,0,0,1,1,1,2,2,0,0
305,1,0,0,1,1,1,2,2,0,0
306,1,0,0,1,1,1,2,2,0,0
307,1,0,0,1,1,1,2,2,0,0
308,1,0,0,1,1,1,2,2,0,0
309,1,0,0,1,1,1,2,2,0,0
310,1,0,0,1,1,1,2,2,0,0
311,1,0,0,1,1,1,2,2,0,0
312,1,0,0,1,1,1,2,2,0,0
313,1,0,0,1,1,1,2,2,0,0
314,1,0,0,1,1,1,2,2,0,0
315,1,0,0,1,1,1,2,2,0,0
316,1,0,0,1,1,1,2,2,0,0
317,1,0,0,1,1,1,2,2,0,0
318,1,0,0,1,1,1,2,2,0,0
319,1,0,0,1,1,1,2,2,0,0
320,1,0,0,1,1,1,2,2,0,0
321,1,0,0,1,1,1,2,2,0,0
322,1,0,0,1,1,1,2,2,0,0
323,1,0,0,1,1,1,2,2,0,0
324,1,0,0,1,1,1,2,2,0,0
325,1,0,0,1,1,1,2,2,0,0
326,1,0,0,1,1,1,2,2,0,0
327,1,0,0,1,1,1,2,2,0,0
328,1,0,0,1,1,1,2,2,0,0
329,1,0,0,1,1,1,2,2,0,0
330,1,0,0,1,1,1,2,2,0,0
331,1,0,0,1,1,1,2,2,0,0
332,1,0,0,1,1,1,2,2,0,0
333,1,0,0,1,1,1,2,2,0,0
334,1,0,0,1,1,1,2,2,0,0
335,1,0,0,1,1,1,2,2,0,0
336,1,0,0,1,1,1,2,2,0,0
337,1,0,0,1,1,1,2,2,0,0
338,1,0,0,1,1,1,2,2,0,0
339,1,0,0,1,1,1,2,2,0,0
340,1,0,0,1,1,1,2,2,0,0
341,1,0,0,1,1,1,2,2,0,0
342,1,0,0,1,1,1,2,2,0,0
343,1,0,0,1,1,1,2,2,0,0
344,1,0,0,1,1,1,2,2,0,0
345,1,0,0,1,1,1,2,2,0,0
346,1,0,0,1,1,1,2,2,0,0
347,1,0,0,1,1,1,2,2,0,0
348,1,0,0,1,1,1,2,2,0,0
349,0,0,0,1,0,0,1,0,0,0
350,0,0,0,1,0,0,1,0,0,0
351,0,0,0,1,0,0,1,0,0,0
352,0,0,0,1,0,0,1,0,0,0
353,0,0,0,1,0,0,1,0,0,0
354,0,0,0,1,0,0,1,0,0,0
355,0,0,0,1,0,0,1,0,0,0
356,0,0,0,1,0,0,1,0,0,0
357,0,0,0,1,0,0,1,0,0,0
358,0,0,0,1,0,0,1,0,0,0
359,0,0,0,1,0,0,1,0,0,0
360,0,0,0,1,0,0,1,0,0,0
361,0,0,0,1,0,0,1,0,0,0
362,0,0,0,1,0,0,1,0,0,0
363,0,0,0,1,0,0,1,0,0,0
